Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Disco Descent","Danny Baranowsky","Crypt of the Necrodancer (Original Game Soundtrack)","Favoritas","Playlist","USQY51560135","3uRikCofTghf4GBr5NXH1K"
"Creep - BYOR Remix","Naeleck","Creep (BYOR Remix)","Favoritas","Playlist","GBKQU2280664","41TkFhNYljV7omolLJ6Squ"
"Kuvera","E.S. Posthumus","Makara","Favoritas","Playlist","USL941000006","4o2HNr1GdTEU9BJoTIbWM6"
"Love Is Noise","The Verve","Forth","Favoritas","Playlist","GBAAA0800519","0P6YJv6QXReDChZBbpvFmF"
"The Last Steampunk Waltz","Ghostfire","The Last Steampunk Waltz","Favoritas","Playlist","TCACI1571052","6FKKO4AzapkLjSyhgl764Q"
"A Pain That I'm Used To","Depeche Mode","Playing the Angel (Deluxe)","Favoritas","Playlist","GBAJH0501446","2G2PdkATB8EADrjHhXQuPP"
"Quutamo","Apocalyptica","Apocalyptica","Favoritas","Playlist","DEN120408103","7rzjTJjI1GJoj1pWkiHgmk"
"Traffic - Radio Edit","Tiësto","Just Be","Favoritas","Playlist","NLE710480323","4dFsZLGVr40S9veNWXBCoe"
"In My Mind","Dynoro","In My Mind","Favoritas","Playlist","QZ22B1859046","0E9ZjEAyAwOXZ7wJC0PD33"
"Wherever You Will Go","The Calling","Camino Palmero","Favoritas","Playlist","USRC10001047","5QpaGzWp0hwB5faV8dkbAz"
"How You Remind Me","Nickelback","Silver Side Up","Favoritas","Playlist","NLA320119533","0gmbgwZ8iqyMPmXefof8Yf"
"BURN IT DOWN","Linkin Park","LIVING THINGS","Favoritas","Playlist","USWB11200587","7oVEtyuv9NBmnytsCIsY5I"
"Hate To Say I Told You So","The Hives","Veni Vidi Vicious","Favoritas","Playlist","SEVHC0007060","20j7B6mL9gnNvG3ic6Vwh5"
"Take on Me","a-ha","Hunting High and Low","Favoritas","Playlist","USWB19901214","2WfaOiMkCvy7F5fcp2zZ8L"
"Creep","Radiohead","Pablo Honey","Favoritas","Playlist","GBAYE9200070","70LcF31zb1H0PyJoS1Sx1r"
"Hell Yeah","Rev Theory","Light It Up","Favoritas","Playlist","USUM70811029","2qABxQZhfAthNxszLiSsUw"
"Savages (feat. Alice Cooper)","Theory of a Deadman","Savages","Favoritas","Playlist","NLA321400205","0NBlnydSfOcbVlMCbXRIB6"
"The World Is Saved","Danny Wiessner","The World Is Saved - Single","Favoritas","Playlist","USTCG1066759","32Fsuztl2Q33vauKI8y2sD"
"Take a Bow","Muse","Black Holes and Revelations","Favoritas","Playlist","GBAHT0500591","4jrCMOG9OPe6iF4vWFxatb"
"Smooth Criminal","David Garrett","David Garrett","Favoritas","Playlist","GBBBA0841930","6LmzJAeI0WCTI7N0bWH34K"
"The Devil You Know","Blues Saraceno","The Devil You Know","Favoritas","Playlist","GBBPP1854677","6kr0kSzKS88OusrdmZTUb6"
